"customer","tariff","from","to","v4","v5","v6","v7"
"Advanced Supply Chain..","18T JF","S35 1QP","NN17 5ZB","460.00","0.00","",
"Advanced Supply Chain..","18T JF","S35 1QP","YO19 4TA","325.00","0.00","",
"Advanced Supply Chain..","18T JF","S72 7GX","NE12 9SZ","520.00","0.00","",
"Advanced Supply Chain..","18T JF","S9 1RF","MK43 9AA","535.25","0.00","",
"Advanced Supply Chain..","18T JF","SN2 2DZ","NN17 5JE","460.00","0.00","",
"Advanced Supply Chain..","18T JF","SO30 2DF","KT22 8SP","395.00","0.00","",
"Advanced Supply Chain..","18T JF","SS156SJ","NN17 5ZB","465.00","0.00","",
"Advanced Supply Chain..","18T JF","ST7 1XD","NN17 5JE","490.00","0.00","",
"Advanced Supply Chain..","18T JF","SW11 8BU","NN17 5JE","485.00","0.00","",
"Advanced Supply Chain..","18T JF","SW1X 7QA","RM20 2ZP","485.00","0.00","",
"Advanced Supply Chain..","18T JF","SW3 4LX","NN17 5JE","474.75","0.00","",
"Advanced Supply Chain..","18T JF","SW3 4LX","NN17 5ZB","474.75","0.00","",
"Advanced Supply Chain..","18T JF","TS3 8TB","AL10 9TR","795.00","0.00","",
"Advanced Supply Chain..","18T JF","TS3 8TB","B77 5BP","630.00","0.00","",
"Advanced Supply Chain..","18T JF","TS3 8TB","L11 0JA","585.00","0.00","",
"Advanced Supply Chain..","18T JF","TS3 8TB","L6 5BN","585.00","0.00","",
"Advanced Supply Chain..","18T JF","TS3 8TB","L9 5AD","595.00","0.00","",
"Advanced Supply Chain..","18T JF","TS3 8TB","WA5 3PW","550.00","0.00","",
"Advanced Supply Chain..","18T JF","TW4 5SY","NN17 5JE","460.00","0.00","",
"Advanced Supply Chain..","18T JF","W12 7GF","NN17 5JE","440.00","0.00","",
"Advanced Supply Chain..","18T JF","W1K 5LF","NN17 5ZB","430.00","0.00","",
"Advanced Supply Chain..","18T JF","WC1V 7QT","OX7 4JS","400.00","0.00","",
"Advanced Supply Chain..","18T JF","WD63SB","NN17 5JE","410.00","0.00","",
"Advanced Supply Chain..","18T JF","WF11 0BE","BD12 7AZ","270.00","0.00","",
"Advanced Supply Chain..","18T JF","YO19 4TA","NN17 5JE","535.25","0.00","",
"Advanced Supply Chain..","7.5T JF","B42 1AA","NN17 5JE","319.79","0.00","",
"Advanced Supply Chain..","7.5T JF","B5 4GB","NN17 5JE","324.92","0.00","",
"Advanced Supply Chain..","7.5T JF","BB12 7BF","S35 1QP","364.88","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","B46 1DA","455.40","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","BD5 8DT","245.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","E20 1EL","675.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","EH48 2EA","725.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","EH54 6QX","695.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","M17 8AA","260.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","M4 1FS","245.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","MK42 7QB","575.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","NE12 5SP","470.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","NG20 8BU","295.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","OX26 6EU","575.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","RG19 4AL","650.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","S9 1EP","245.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","SW1X 7QA","650.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","W12 7GD","650.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","WC2A 1AN","650.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","WF9 2XT","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","YO11 3UT","360.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BD12 7AZ","YO19 4TA","260.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BR1 1DN","NN17 5JE","440.00","0.00","",
"Advanced Supply Chain..","7.5T JF","BS7 8TX","NN17 5JE","540.00","0.00","",
"Advanced Supply Chain..","7.5T JF","CH65 9JJ","BD12 7AZ","345.00","0.00","",
"Advanced Supply Chain..","7.5T JF","CH65 9JJ","NN17 5JE","550.00","0.00","",
"Advanced Supply Chain..","7.5T JF","CM19 5BD","BD12 7AZ","625.00","0.00","",
"Advanced Supply Chain..","7.5T JF","CV23 8BQ","S35 1QP","385.00","0.00","",
"Advanced Supply Chain..","7.5T JF","DN11 0BF","NN17 5JE","385.00","0.00","",
"Advanced Supply Chain..","7.5T JF","EN9 1AF","NN17 5ZB","395.00","0.00","",
"Advanced Supply Chain..","7.5T JF","G1 3LB","NN17 5JE","895.00","0.00","",
"Advanced Supply Chain..","7.5T JF","IP11 4BA","NN17 5JE","450.20","0.00","",
"Advanced Supply Chain..","7.5T JF","KT1 1TP","NN17 5JE","440.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LE1 3UG","S72 7GX","369.74","0.00","",
"Advanced Supply Chain..","7.5T JF","LE11 5TR","S72 7GX","335.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LE13UG","S72 7GX","369.74","0.00","",
"Advanced Supply Chain..","7.5T JF","LE4 5HA","S72 7GX","369.74","0.00","",
"Advanced Supply Chain..","7.5T JF","LE4 9LE","S72 7GX","369.74","0.00","",
"Advanced Supply Chain..","7.5T JF","LE5 0BT","S72 7GX","375.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LE5 3ST","S72 7GX","375.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LE5 4FG","S72 7GX","375.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LE5 4HJ","NN17 5JE","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LE5 4JG","NN17 5JE","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LS1 5AR","NN17 5JE","460.00","0.00","",
"Advanced Supply Chain..","7.5T JF","LS13 4TY","BD12 7AZ","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","M17 8AA","BD12 7AZ","260.00","0.00","",
"Advanced Supply Chain..","7.5T JF","M4 3AJ","NN17 5JE","560.00","0.00","",
"Advanced Supply Chain..","7.5T JF","M8 8NL","NN17 5JE","560.00","0.00","",
"Advanced Supply Chain..","7.5T JF","MK17 7AB","NN17 5ZB","275.34","0.00","",
"Advanced Supply Chain..","7.5T JF","N181SJ","NN17 5JE","410.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NG6 8YP","NN17 5JE","350.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5JE","B42 1AA","325.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5JE","NN14 4QS","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5JE","NN8 4BL","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5JE","PE7 3HH","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5JE","ST7 1XD","445.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","EN9 1AF","395.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","KT10 9AJ","445.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","LE4 9LG","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","MK1 1NY","269.64","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","MK17 8EW","265.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","NG7 2SD","275.34","0.00","",
"Advanced Supply Chain..","7.5T JF","NN17 5ZB","W1K 5LF","385.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NN3 9UD","NN17 5JE","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","NW2 7JP","NN17 5JE","375.00","0.00","",
"Advanced Supply Chain..","7.5T JF","OX7 4JS","WC1V 7QT","360.00","0.00","",
"Advanced Supply Chain..","7.5T JF","PL21 9RL","NN17 5JE","725.00","0.00","",
"Advanced Supply Chain..","7.5T JF","RG1 8LJ","NN17 5JE","455.40","0.00","",
"Advanced Supply Chain..","7.5T JF","RM18 7HD","NN17 5ZB","430.00","0.00","",
"Advanced Supply Chain..","7.5T JF","S35 1QP","DE11 0BB","335.00","0.00","",
"Advanced Supply Chain..","7.5T JF","S35 1QP","MK17 8EW","475.00","0.00","",
"Advanced Supply Chain..","7.5T JF","S35 1QP","NN17 5ZB","410.00","0.00","",
"Advanced Supply Chain..","7.5T JF","S35 1QP","YO19 4TA","295.00","0.00","",
"Advanced Supply Chain..","7.5T JF","S72 7GX","NE12 9SZ","475.00","0.00","",
"Advanced Supply Chain..","7.5T JF","S9 1RF","MK43 9AA","490.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SN2 2DZ","NN17 5JE","410.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SO30 2DF","KT22 8SP","350.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SS156SJ","NN17 5ZB","420.00","0.00","",
"Advanced Supply Chain..","7.5T JF","ST7 1XD","NN17 5JE","445.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SW11 8BU","NN17 5JE","440.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SW1X 7QA","RM20 2ZP","440.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SW3 4LX","NN17 5JE","430.00","0.00","",
"Advanced Supply Chain..","7.5T JF","SW3 4LX","NN17 5ZB","430.00","0.00","",
"Advanced Supply Chain..","7.5T JF","TS3 8TB","AL10 9TR","695.00","0.00","",
"Advanced Supply Chain..","7.5T JF","TS3 8TB","B77 5BP","575.00","0.00","",
"Advanced Supply Chain..","7.5T JF","TS3 8TB","L11 0JA","535.00","0.00","",
"Advanced Supply Chain..","7.5T JF","TS3 8TB","L6 5BN","535.00","0.00","",
"Advanced Supply Chain..","7.5T JF","TS3 8TB","L9 5AD","545.00","0.00","",
"Advanced Supply Chain..","7.5T JF","TS3 8TB","WA5 3PW","499.60","0.00","",
"Advanced Supply Chain..","7.5T JF","TW4 5SY","NN17 5JE","410.00","0.00","",
"Advanced Supply Chain..","7.5T JF","W12 7GF","NN17 5JE","395.00","0.00","",
"Advanced Supply Chain..","7.5T JF","W1K 5LF","NN17 5ZB","385.00","0.00","",
"Advanced Supply Chain..","7.5T JF","WC1V 7QT","OX7 4JS","360.00","0.00","",
"Advanced Supply Chain..","7.5T JF","WD63SB","NN17 5JE","364.88","0.00","",
"Advanced Supply Chain..","7.5T JF","WF11 0BE","BD12 7AZ","240.00","0.00","",
"Advanced Supply Chain..","7.5T JF","YO19 4TA","NN17 5JE","490.00","0.00","",
"Advanced Supply Chain..","Artic JF","B42 1AA","NN17 5JE","420.00","0.00","",
"Advanced Supply Chain..","Artic JF","B5 4GB","NN17 5JE","425.00","0.00","",
"Advanced Supply Chain..","Artic JF","BB12 7BF","S35 1QP","465.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","B46 1DA","565.15","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","BD5 8DT","330.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","E20 1EL","815.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","EH48 2EA","895.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","EH54 6QX","835.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","M17 8AA","340.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","M4 1FS","330.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","MK42 7QB","695.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","NE12 5SP","580.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","NG20 8BU","380.13","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","OX26 6EU","695.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","RG19 4AL","795.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","S9 1EP","330.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","SW1X 7QA","795.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","W12 7GD","795.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","WC2A 1AN","795.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","WF9 2XT","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","YO11 3UT","460.00","0.00","",
"Advanced Supply Chain..","Artic JF","BD12 7AZ","YO19 4TA","340.00","0.00","",
"Advanced Supply Chain..","Artic JF","BR1 1DN","NN17 5JE","545.20","0.00","",
"Advanced Supply Chain..","Artic JF","BS7 8TX","NN17 5JE","660.00","0.00","",
"Advanced Supply Chain..","Artic JF","CH65 9JJ","BD12 7AZ","440.00","0.00","",
"Advanced Supply Chain..","Artic JF","CH65 9JJ","NN17 5JE","670.00","0.00","",
"Advanced Supply Chain..","Artic JF","CM19 5BD","BD12 7AZ","770.00","0.00","",
"Advanced Supply Chain..","Artic JF","CV23 8BQ","S35 1QP","490.00","0.00","",
"Advanced Supply Chain..","Artic JF","DN11 0BF","NN17 5JE","490.00","0.00","",
"Advanced Supply Chain..","Artic JF","EN9 1AF","NN17 5ZB","500.00","0.00","",
"Advanced Supply Chain..","Artic JF","G1 3LB","NN17 5JE","1,095.00","0.00","",
"Advanced Supply Chain..","Artic JF","IP11 4BA","NN17 5JE","560.00","0.00","",
"Advanced Supply Chain..","Artic JF","KT1 1TP","NN17 5JE","545.20","0.00","",
"Advanced Supply Chain..","Artic JF","LE1 3UG","S72 7GX","475.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE11 5TR","S72 7GX","435.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE13UG","S72 7GX","475.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE4 5HA","S72 7GX","475.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE4 9LE","S72 7GX","475.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE5 0BT","S72 7GX","480.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE5 3ST","S72 7GX","480.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE5 4FG","S72 7GX","480.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE5 4HJ","NN17 5JE","325.00","0.00","",
"Advanced Supply Chain..","Artic JF","LE5 4JG","NN17 5JE","325.00","0.00","",
