"customer","tariff","from_region","to_region","price","cost","col6","col7"
"All Customers","Small Van Regional Tariff","South East","Midlands","41.00","42.90","1.04",""
"All Customers","SWB Regional Tariff","South East","North West","56.00","58.50","1.04",""
"All Customers","SWB Regional Tariff","South East","Yorkshire and the Humber","56.00","58.50","1.04",""
"All Customers","Small Van Regional Tariff","South West","Midlands","48.00","49.40","1.04",""
"All Customers","Small Van Regional Tariff","South West","East of England","48.00","49.40","1.04",""
"All Customers","Small Van Regional Tariff","Wales","East of England","40.00","41.60","1.04",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","Greater London","41.00","42.90","1.04",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","Scotland","41.00","42.90","1.04",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","Wales","41.00","42.90","1.04",""
"All Customers","Small Van Regional Tariff","North West","Midlands","35.00","37.70","1.07",""
"All Customers","Small Van Regional Tariff","South East","Wales","40.00","42.90","1.07",""
"All Customers","SWB Regional Tariff","South East","North East","55.00","58.50","1.07",""
"All Customers","Small Van Regional Tariff","South West","Yorkshire and the Humber","46.00","49.40","1.07",""
"All Customers","Small Van Regional Tariff","Wales","North West","39.00","41.60","1.07",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","East of England","40.00","42.90","1.07",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","South West","49.00","52.00","1.07",""
"All Customers","Small Van Regional Tariff","Greater London","Midlands","41.00","44.20","1.08",""
"All Customers","Small Van Regional Tariff","East of England","Midlands","45.00","49.40","1.09",""
"All Customers","Small Van Regional Tariff","East of England","North East","45.00","49.40","1.09",""
"All Customers","SWB Regional Tariff","North West","Scotland","44.00","48.10","1.09",""
"All Customers","SWB Regional Tariff","North West","South East","44.00","48.10","1.09",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","Scotland","48.00","52.00","1.09",""
"All Customers","Small Van Regional Tariff","East of England","Wales","45.00","49.40","1.11",""
"All Customers","SWB Regional Tariff","East of England","South West","53.00","58.50","1.11",""
"All Customers","LWB Regional Tariff","East of England","North East","65.00","71.50","1.11",""
"All Customers","LWB Regional Tariff","Greater London","North West","59.00","65.00","1.11",""
"All Customers","Small Van Regional Tariff","Midlands","South East","39.00","42.90","1.11",""
"All Customers","Small Van Regional Tariff","Midlands","South West","39.00","42.90","1.11",""
"All Customers","Small Van Regional Tariff","Midlands","Yorkshire and the Humber","39.00","42.90","1.11",""
"All Customers","SWB Regional Tariff","Midlands","North East","47.00","52.00","1.11",""
"All Customers","Small Van Regional Tariff","North East","Wales","32.00","35.10","1.11",""
"All Customers","SWB Regional Tariff","North East","Scotland","47.00","52.00","1.11",""
"All Customers","Small Van Regional Tariff","North West","North East","34.00","37.70","1.11",""
"All Customers","SWB Regional Tariff","North West","East of England","44.00","48.10","1.11",""
"All Customers","SWB Regional Tariff","North West","Greater London","44.00","48.10","1.11",""
"All Customers","LWB Regional Tariff","Scotland","North East","65.00","71.50","1.11",""
"All Customers","LWB Regional Tariff","Scotland","North West","65.00","71.50","1.11",""
"All Customers","SWB Regional Tariff","South East","Wales","53.00","58.50","1.11",""
"All Customers","Small Van Regional Tariff","South West","South East","45.00","49.40","1.11",""
"All Customers","SWB Regional Tariff","South West","Scotland","53.00","58.50","1.11",""
"All Customers","Small Van Regional Tariff","Wales","Midlands","38.00","41.60","1.11",""
"All Customers","Small Van Regional Tariff","Wales","South East","38.00","41.60","1.11",""
"All Customers","SWB Regional Tariff","Wales","Yorkshire and the Humber","53.00","58.50","1.11",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","Midlands","39.00","42.90","1.11",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","South East","47.00","52.00","1.11",""
"All Customers","LWB Regional Tariff","Greater London","Scotland","58.00","65.00","1.12",""
"All Customers","SWB Regional Tariff","South West","North West","52.00","58.50","1.12",""
"All Customers","SWB Regional Tariff","South West","North East","52.00","58.50","1.13",""
"All Customers","Small Van Regional Tariff","East of England","South West","43.00","49.40","1.14",""
"All Customers","Small Van Regional Tariff","North East","Scotland","31.00","35.10","1.14",""
"All Customers","SWB Regional Tariff","North East","Yorkshire and the Humber","45.00","52.00","1.14",""
"All Customers","Small Van Regional Tariff","South East","South West","38.00","42.90","1.14",""
"All Customers","Small Van Regional Tariff","Wales","Greater London","36.00","41.60","1.14",""
"All Customers","SWB Regional Tariff","Wales","East of England","51.00","58.50","1.14",""
"All Customers","Small Van Regional Tariff","Midlands","East of England","37.00","42.90","1.16",""
"All Customers","Small Van Regional Tariff","Midlands","Wales","37.00","42.90","1.16",""
"All Customers","SWB Regional Tariff","East of England","North West","50.00","58.50","1.17",""
"All Customers","SWB Regional Tariff","East of England","Wales","50.00","58.50","1.17",""
"All Customers","SWB Regional Tariff","East of England","Yorkshire and the Humber","50.00","58.50","1.17",""
"All Customers","LWB Regional Tariff","East of England","North West","61.00","71.50","1.17",""
"All Customers","LWB Regional Tariff","East of England","Scotland","61.00","71.50","1.17",""
"All Customers","Small Van Regional Tariff","Greater London","South West","38.00","44.20","1.17",""
"All Customers","SWB Regional Tariff","Greater London","Midlands","50.00","58.50","1.17",""
"All Customers","LWB Regional Tariff","Midlands","Scotland","50.00","58.50","1.17",""
"All Customers","Small Van Regional Tariff","North West","East of England","32.00","37.70","1.17",""
"All Customers","Small Van Regional Tariff","North West","Wales","32.00","37.70","1.17",""
"All Customers","Small Van Regional Tariff","North West","Yorkshire and the Humber","32.00","37.70","1.17",""
"All Customers","SWB Regional Tariff","North West","South West","41.00","48.10","1.17",""
"All Customers","LWB Regional Tariff","South East","North East","56.00","65.00","1.17",""
"All Customers","LWB Regional Tariff","South East","Scotland","56.00","65.00","1.17",""
"All Customers","Small Van Regional Tariff","South West","Greater London","42.00","49.40","1.17",""
"All Customers","SWB Regional Tariff","South West","Midlands","50.00","58.50","1.17",""
"All Customers","SWB Regional Tariff","South West","East of England","50.00","58.50","1.17",""
"All Customers","LWB Regional Tariff","South West","North East","56.00","65.00","1.17",""
"All Customers","LWB Regional Tariff","South West","Scotland","56.00","65.00","1.17",""
"All Customers","LWB Regional Tariff","South West","Yorkshire and the Humber","56.00","65.00","1.17",""
"All Customers","SWB Regional Tariff","Wales","North East","50.00","58.50","1.17",""
"All Customers","SWB Regional Tariff","Wales","South East","50.00","58.50","1.17",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","North East","37.00","42.90","1.17",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","North West","37.00","42.90","1.17",""
"All Customers","SWB Regional Tariff","Yorkshire and the Humber","Midlands","44.00","52.00","1.17",""
